source_name,cbs_name,match_type
Kansas St.,Kansas St.,exact
Kennesaw St.,Kennesaw St.,exact
Kent St.,Kent St.,exact
Kentucky,Kentucky,exact
LIU,LIU,exact
LSU,LSU,exact
La Salle,La Salle,exact
Lafayette,Lafayette,exact
Lamar,Lamar,exact
Le Moyne,Le Moyne,exact
Lehigh,Lehigh,exact
Liberty,Liberty,exact
Lindenwood,Lindenwood,exact
Lipscomb,Lipscomb,exact
Little Rock,Little Rock,exact
Long Beach St.,,unmatched
Longwood,Longwood,exact
Louisiana,Louisiana,exact
Louisiana Monroe,Louisiana,fuzzy
Louisiana Tech,Louisiana,fuzzy
Louisville,Louisville,exact
Loyola Chicago,Loyola Chi.,fuzzy
Loyola MD,Loyola-Md.,fuzzy
Loyola Marymount,,unmatched
Maine,Maine,exact
Manhattan,Manhattan,exact
Marist,Marist,exact
Marquette,Marquette,exact
Marshall,Marshall,exact
Maryland,Maryland,exact
Maryland Eastern Shore,,unmatched
Massachusetts,Massachusetts,exact
McNeese St.,McNeese,fuzzy
Memphis,Memphis,exact
Mercer,Mercer,exact
Mercyhurst,Mercyhurst,exact
Merrimack,Merrimack,exact
Miami FL,Miami,fuzzy
Miami OH,Miami,fuzzy
Michigan,Michigan,exact
Michigan St.,Michigan St.,exact
Middle Tennessee,Middle Tenn.,fuzzy
Milwaukee,Milwaukee,exact
Minnesota,Minnesota,exact
Mississippi,,unmatched
Mississippi St.,Missouri St.,fuzzy
Mississippi Valley St.,Miss Valley St.,fuzzy
Missouri,Missouri,exact
Missouri St.,Missouri St.,exact
Monmouth,Monmouth,exact
Montana,Montana,exact
Montana St.,Montana St.,exact
Morehead St.,Morehead St.,exact
Morgan St.,Morgan St.,exact
Mount St. Mary's,Mt St Mary's,fuzzy
Murray St.,Murray St.,exact
N.C. State,NC State,fuzzy
NJIT,,unmatched
Navy,Navy,exact
Nebraska,Nebraska,exact
Nebraska Omaha,Nebraska,fuzzy
Nevada,Nevada,exact
New Hampshire,New Hamp.,fuzzy
New Haven,New Haven,exact
New Mexico,New Mexico,exact
New Mexico St.,New Mexico,fuzzy
New Orleans,New Orleans,exact
Niagara,Niagara,exact
