team_id,cbs_name,kenpom_rank,adj_em,adj_o,adj_d,as_of_date,source,schema_version
UT Rio Grande Valley,UT-Rio Grande Valley,125,4.0,111.05123338495734,107.04650469208276,2026-03-04,barttorvik,1.0
Fresno St.,Fresno St.,126,3.78,107.39715626896765,103.612161864185,2026-03-04,barttorvik,1.0
Penn St.,Penn St.,127,4.0,115.69799685518987,111.69417646037897,2026-03-04,barttorvik,1.0
San Francisco,Saint Francis,128,3.87,112.90663048455707,109.03735863535235,2026-03-04,barttorvik,1.0
Southern Illinois,S. Illinois,129,3.44,102.79406215032658,99.35506666046388,2026-03-04,barttorvik,1.0
Murray St.,Murray St.,130,3.86,115.85137289137542,111.99526519978689,2026-03-04,barttorvik,1.0
Montana St.,Montana St.,131,3.54,110.75273998738288,107.2113548720186,2026-03-04,barttorvik,1.0
UAB,UAB,132,3.17,107.7760168130814,104.60293239708813,2026-03-04,barttorvik,1.0
George Mason,George Mason,133,3.2,110.46552903070753,107.26113793819678,2026-03-04,barttorvik,1.0
Wright St.,Wright St.,134,3.15,113.14294712968089,109.9953596300293,2026-03-04,barttorvik,1.0
Bradley,Bradley,135,2.93,111.11687631257556,108.19143558535794,2026-03-04,barttorvik,1.0
Northern Colorado,N. Colorado,136,2.83,111.73329648783042,108.90057723892873,2026-03-04,barttorvik,1.0
Rutgers,Rutgers,137,2.79,110.66786437087393,107.8742846411853,2026-03-04,barttorvik,1.0
Navy,Navy,138,2.19,106.20574798332042,104.01631013980183,2026-03-04,barttorvik,1.0
Boston College,Boston College,139,2.03,104.19574424232667,102.16359722489736,2026-03-04,barttorvik,1.0
Western Kentucky,W. Kentucky,140,1.73,107.74609803350388,106.01538264073244,2026-03-04,barttorvik,1.0
Toledo,Toledo,141,1.69,113.5058746603952,111.81623990461526,2026-03-04,barttorvik,1.0
Arkansas St.,Arkansas St.,142,1.62,110.19415005541995,108.57796634063519,2026-03-04,barttorvik,1.0
North Texas,North Texas,143,1.52,103.78929747094892,102.27019591110593,2026-03-04,barttorvik,1.0
William & Mary,William & Mary,144,1.6,111.40700477086702,109.80321016221004,2026-03-04,barttorvik,1.0
Loyola Marymount,,145,1.49,106.83905182302794,105.3486228922465,2026-03-04,barttorvik,1.0
Portland St.,Portland St.,146,1.15,103.24150283447348,102.09548690462884,2026-03-04,barttorvik,1.0
Eastern Washington,E. Washington,147,1.24,113.29802143041951,112.05851507839529,2026-03-04,barttorvik,1.0
Austin Peay,Austin Peay,148,1.17,109.1388400839468,107.97299710381219,2026-03-04,barttorvik,1.0
Rhode Island,Rhode Island,149,1.1,105.61859278834812,104.52114198050944,2026-03-04,barttorvik,1.0
Middle Tennessee,Middle Tenn.,150,1.02,109.99470064700382,108.97009160774496,2026-03-04,barttorvik,1.0
Central Arkansas,Cent. Arkansas,151,1.0,109.6482666211399,108.644503918238,2026-03-04,barttorvik,1.0
Kennesaw St.,Kennesaw St.,152,0.97,110.71294939836692,109.7387941527905,2026-03-04,barttorvik,1.0
Cal St. Northridge,CSNorthridge,153,0.95,108.81805112293168,107.86369826976298,2026-03-04,barttorvik,1.0
Valparaiso,Valparaiso,154,0.87,108.33255754158985,107.46066162511094,2026-03-04,barttorvik,1.0
Troy,Troy,155,0.84,111.15443434592828,110.31179279878782,2026-03-04,barttorvik,1.0
Bowling Green,Bowling Green,156,0.76,106.20453213001117,105.44097469466094,2026-03-04,barttorvik,1.0
Idaho,Idaho,157,0.46,109.27109158505843,108.80785367889706,2026-03-04,barttorvik,1.0
Robert Morris,Robert Morris,158,0.43,110.54022869574922,110.11363354427053,2026-03-04,barttorvik,1.0
Harvard,Harvard,159,0.33,106.2275962622641,105.90022444460612,2026-03-04,barttorvik,1.0
UC Davis,UC Davis,160,0.28,108.71225654105803,108.4304502539672,2026-03-04,barttorvik,1.0
Kent St.,Kent St.,161,0.29,110.84949410406772,110.5624221654882,2026-03-04,barttorvik,1.0
Temple,Temple,162,0.19,111.59471889732913,111.40392056311319,2026-03-04,barttorvik,1.0
Cornell,Cornell,163,0.15,118.79052834360127,118.63851925909034,2026-03-04,barttorvik,1.0
Merrimack,Merrimack,164,0.05,107.93531060537775,107.89013338532276,2026-03-04,barttorvik,1.0
Oregon St.,Oregon St.,165,-0.24,109.43596047502504,109.67945587969379,2026-03-04,barttorvik,1.0
Winthrop,Winthrop,166,-0.27,110.90903588570075,111.17610890783345,2026-03-04,barttorvik,1.0
Charleston,Charleston,167,-0.35,107.33319076546364,107.68380733146836,2026-03-04,barttorvik,1.0
Green Bay,Green Bay,168,-0.41,112.9458328110234,113.352556844378,2026-03-04,barttorvik,1.0
Penn,Penn,169,-0.41,106.4805013911919,106.88891753918378,2026-03-04,barttorvik,1.0
East Tennessee St.,Tennessee St.,170,-0.43,108.5021138496888,108.93062116990086,2026-03-04,barttorvik,1.0
Richmond,Richmond,171,-0.47,109.55975066790577,110.03116449816514,2026-03-04,barttorvik,1.0
Georgia Tech,Georgia,172,-0.49,106.81391178267963,107.30684883286183,2026-03-04,barttorvik,1.0
Charlotte,Charlotte,173,-0.58,112.76062423314468,113.34352023569835,2026-03-04,barttorvik,1.0
Montana,Montana,174,-0.57,106.3645416601276,106.93590313291779,2026-03-04,barttorvik,1.0
Appalachian St.,Michigan St.,175,-0.65,105.55664525483591,106.20169315337805,2026-03-04,barttorvik,1.0
Oakland,Oakland,176,-0.7,114.05520180167838,114.75908681234274,2026-03-04,barttorvik,1.0
Massachusetts,Massachusetts,177,-0.71,110.33625699773069,111.04185881623856,2026-03-04,barttorvik,1.0
Fordham,Fordham,178,-0.66,103.12973867233254,103.79422240088132,2026-03-04,barttorvik,1.0
St. Bonaventure,St. Bona.,179,-0.81,113.82399345739852,114.62964062617986,2026-03-04,barttorvik,1.0
Monmouth,Monmouth,180,-1.33,106.33325036175916,107.66280171602213,2026-03-04,barttorvik,1.0
Utah Tech,Utah Tech,181,-1.57,110.46087229790773,112.03326203307927,2026-03-04,barttorvik,1.0
UT Arlington,UT Arlington,182,-1.46,101.97985661965845,103.44196326947142,2026-03-04,barttorvik,1.0
South Alabama,South Alabama,183,-1.77,106.42333711278015,108.1907555020467,2026-03-04,barttorvik,1.0
Northern Kentucky,N. Kentucky,184,-1.83,107.44558596996345,109.28032301830007,2026-03-04,barttorvik,1.0
FIU,FIU,185,-1.85,107.36507230977591,109.2143316210369,2026-03-04,barttorvik,1.0
New Mexico St.,New Mexico,186,-1.9,110.01913280741329,111.91510048292295,2026-03-04,barttorvik,1.0
New Orleans,New Orleans,187,-1.93,109.39609036405926,111.32527661021217,2026-03-04,barttorvik,1.0
Youngstown St.,Youngstown St.,188,-1.95,107.15675631583393,109.10221643425582,2026-03-04,barttorvik,1.0
Texas A&M Corpus Chris,,189,-1.94,103.51636158795236,105.45617869281895,2026-03-04,barttorvik,1.0
Campbell,Campbell,190,-2.09,110.18219030549989,112.27139646267227,2026-03-04,barttorvik,1.0
Tulane,Tulane,191,-2.13,106.8912131678398,109.01626939922899,2026-03-04,barttorvik,1.0
Jacksonville St.,Jacksonville,192,-2.23,106.85427815830346,109.08143631728447,2026-03-04,barttorvik,1.0
Portland,Portland,193,-2.31,106.5599984112759,108.86781695349742,2026-03-04,barttorvik,1.0
Missouri St.,Missouri St.,194,-2.38,108.28129098967929,110.66306935821396,2026-03-04,barttorvik,1.0
Howard,Howard,195,-2.3,103.39645528733098,105.69989339014583,2026-03-04,barttorvik,1.0
UMBC,UMBC,196,-2.51,106.41037010253174,108.92163897277374,2026-03-04,barttorvik,1.0
Mercer,Mercer,197,-2.7,111.57395880818572,114.27116113529294,2026-03-04,barttorvik,1.0
Weber St.,Weber St.,198,-2.71,111.10893483127086,113.81823278868428,2026-03-04,barttorvik,1.0
Marist,Marist,199,-2.53,99.64158423367755,102.16710285839835,2026-03-04,barttorvik,1.0
